LAST SEEN   TYPE      REASON                         OBJECT                                                                   MESSAGE
76m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Created container: preprocess
76m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Created container: routing-proxy
76m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Started container preprocess
76m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Started container routing-proxy
76m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
76m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 372ms (372ms including waiting). Image size: 7504590361 bytes.
76m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Startup probe failed: HTTP probe failed with statuscode: 503
76m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Started container vllm
76m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Created container: vllm
76m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
76m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
76m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Created container: vllm
76m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Started container vllm
76m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Startup probe failed: HTTP probe failed with statuscode: 503
76m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled up replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 8 to 10
76m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Startup probe failed: HTTP probe failed with statuscode: 503
76m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-qwlld
76m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp
75m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Startup probe failed: HTTP probe failed with statuscode: 503
72m         Warning   FailedScheduling               pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-mcd4c                   0/21 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }, 13 Insufficient nvidia.com/gpu, 3 node(s) had untolerated taint {app: llm-d-benchmark-harness}, 3 node(s) had untolerated taint {node-role.kubernetes.io/master: }. preemption: 0/21 nodes are available: 13 No preemption victims found for incoming pod, 8 Preemption is not helpful for scheduling.
72m         Warning   FailedScheduling               pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-scx6r                   0/21 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }, 13 Insufficient nvidia.com/gpu, 3 node(s) had untolerated taint {app: llm-d-benchmark-harness}, 3 node(s) had untolerated taint {node-role.kubernetes.io/master: }. preemption: 0/21 nodes are available: 13 No preemption victims found for incoming pod, 8 Preemption is not helpful for scheduling.
72m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-scx6r                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-scx6r to pokprod-b93r43s1
72m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-mcd4c                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-mcd4c to pokprod-b93r43s1
72m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wmkvj
72m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-mcd4c                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
72m         Normal    Preempted                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-mcd4c                   Preempted by pod 5a0cfbc6-60d4-4759-b191-d1ae12f78a51 on node pokprod-b93r43s1
72m         Normal    Preempted                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-scx6r                   Preempted by pod 5a0cfbc6-60d4-4759-b191-d1ae12f78a51 on node pokprod-b93r43s1
72m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-scx6r                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
72m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  (combined from similar events): Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wlgpt
72m         Normal    Preempted                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-scx6r                   Preempted by pod b0c05fea-e619-433c-b9fe-016dd9b21888 on node pokprod-b93r43s1
72m         Normal    Preempted                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-mcd4c                   Preempted by pod b0c05fea-e619-433c-b9fe-016dd9b21888 on node pokprod-b93r43s1
67m         Warning   FailedScheduling               pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wmkvj                   0/21 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }, 13 Insufficient nvidia.com/gpu, 3 node(s) had untolerated taint {app: llm-d-benchmark-harness}, 3 node(s) had untolerated taint {node-role.kubernetes.io/master: }. preemption: 0/21 nodes are available: 13 No preemption victims found for incoming pod, 8 Preemption is not helpful for scheduling.
67m         Warning   FailedScheduling               pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wlgpt                   0/21 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }, 13 Insufficient nvidia.com/gpu, 3 node(s) had untolerated taint {app: llm-d-benchmark-harness}, 3 node(s) had untolerated taint {node-role.kubernetes.io/master: }. preemption: 0/21 nodes are available: 13 No preemption victims found for incoming pod, 8 Preemption is not helpful for scheduling.
65m         Warning   FailedScheduling               pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   0/21 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }, 13 Insufficient nvidia.com/gpu, 3 node(s) had untolerated taint {app: llm-d-benchmark-harness}, 3 node(s) had untolerated taint {node-role.kubernetes.io/master: }. preemption: 0/21 nodes are available: 13 No preemption victims found for incoming pod, 8 Preemption is not helpful for scheduling.
65m         Warning   FailedScheduling               pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-qwlld                   0/21 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }, 13 Insufficient nvidia.com/gpu, 3 node(s) had untolerated taint {app: llm-d-benchmark-harness}, 3 node(s) had untolerated taint {node-role.kubernetes.io/master: }. preemption: 0/21 nodes are available: 13 No preemption victims found for incoming pod, 8 Preemption is not helpful for scheduling.
65m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wmkvj
65m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled down replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 10 to 7
65m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wlgpt
65m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 7; reason: All metrics below target
65m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-qwlld
63m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp to pokprod-b93r43s1
63m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
63m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
63m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Created container: routing-proxy
63m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Started container routing-proxy
63m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Add eth0 [10.131.6.198/23] from ovn-kubernetes
63m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 348ms (348ms including waiting). Image size: 44914390 bytes.
63m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
63m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 491ms (491ms including waiting). Image size: 7504590361 bytes.
63m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Created container: preprocess
63m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Started container preprocess
63m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Started container vllm
63m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
63m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Created container: vllm
62m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Startup probe failed: HTTP probe failed with statuscode: 503
60m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp
60m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 4; reason: All metrics below target
60m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Stopping container routing-proxy
60m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6
60m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Stopping container vllm
60m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Stopping container routing-proxy
60m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Stopping container vllm
60m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Stopping container vllm
60m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled down replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 7 to 4
60m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg
60m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Stopping container routing-proxy
60m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-v7djg                   Readiness probe failed: HTTP probe failed with statuscode: 503
60m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtq6                   Readiness probe failed: HTTP probe failed with statuscode: 503
60m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-2t6pp                   Readiness probe failed: HTTP probe failed with statuscode: 503
60m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled down replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 4 to 3
60m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4
60m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Stopping container routing-proxy
60m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Stopping container vllm
59m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-nfxs4                   Readiness probe failed: HTTP probe failed with statuscode: 503
58m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled down replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 3 to 2
58m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Stopping container vllm
58m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Stopping container routing-proxy
58m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc
57m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cmtdc                   Readiness probe failed: HTTP probe failed with statuscode: 503
52m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s
52m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr
52m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr to pokprod-b93r44s2
52m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled up replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 2 to 4
52m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s to pokprod-b93r44s1
52m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
52m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
52m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
52m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Add eth0 [10.128.5.37/23] from ovn-kubernetes
52m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Started container routing-proxy
52m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Created container: routing-proxy
52m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 299ms (299ms including waiting). Image size: 44914390 bytes.
52m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Add eth0 [10.131.2.255/23] from ovn-kubernetes
52m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
52m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 365ms (365ms including waiting). Image size: 7504590361 bytes.
52m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
52m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Started container preprocess
52m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Created container: preprocess
52m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Created container: routing-proxy
52m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 306ms (306ms including waiting). Image size: 44914390 bytes.
52m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Started container routing-proxy
52m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
52m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Started container preprocess
52m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Created container: preprocess
52m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 365ms (365ms including waiting). Image size: 7504590361 bytes.
52m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Started container vllm
52m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
52m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Created container: vllm
52m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled up replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 4 to 6
52m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k to pokprod-b93r44s0
52m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k
52m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 6; reason: external metric s0-wva-desired-replicas(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: qwen-qwe-3db867ce-en3-0-6b-decode-wva,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
52m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7
52m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7 to pokprod-b93r43s0
52m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
52m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
52m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Created container: vllm
52m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Started container vllm
52m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
52m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Created container: routing-proxy
52m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
52m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
52m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 380ms (380ms including waiting). Image size: 44914390 bytes.
52m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Started container routing-proxy
52m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
52m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Add eth0 [10.130.6.204/23] from ovn-kubernetes
52m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Add eth0 [10.130.3.121/23] from ovn-kubernetes
52m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Created container: routing-proxy
52m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
52m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Started container preprocess
52m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 381ms (382ms including waiting). Image size: 44914390 bytes.
52m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Started container routing-proxy
52m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 317ms (317ms including waiting). Image size: 7504590361 bytes.
52m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Created container: preprocess
52m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Created container: preprocess
52m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Started container preprocess
52m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 441ms (441ms including waiting). Image size: 7504590361 bytes.
52m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
52m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk
52m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled up replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 6 to 9
52m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Created container: vllm
52m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j
